URL	Status	Result	ResponseURL	PageTitle	PageTitleAlex	PageTitleStatus	MetaDescription	MetaDescriptionAlex	MetaDescriptionStatus	MetaKeyword	PriMetaKeywordAlex	SecMetaKeywordAlex	TrtMetaKeywordAlex	PriMetaKeywordStatus	SecMetaKeywordStatus	TrtMetaKeywordStatus	H1	H1Alex	H1Status
https://www.villaplus.com/destinations/villas-in-portugal/algarve/vale-do-lobo	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-portugal/algarve/vale-do-lobo	Holiday Villas Vale Do Lobo 2017 | Villa Plus		NOT MAPPED	Find your perfect holiday villas in Vale do Lobo, Algarve, offering excellent championship golf courses and beautiful coastal views. Book with us today!		NOT MAPPED	"Villas In Vale do Lobo" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Vale do Lobo		FAIL
https://www.villaplus.com/destinations/villas-in-portugal/algarve/quinta-do-lago	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-portugal/algarve/quinta-do-lago	Holiday Villas in Quinta Do Lago 2017 | Villa Plus		NOT MAPPED	Find a holiday villa in the beautiful Quinta do Lago, Algarve, famed for its nouvelle cuisine restaurants, designer shops and championship golf courses. 		NOT MAPPED	"Villas In Quinta do Lago" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Quinta do Lago		FAIL
https://www.villaplus.com/destinations/villas-in-portugal/algarve/almancil	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-portugal/algarve/almancil	Holiday Villas in Almancil 2017 | Villa Plus		NOT MAPPED	Experience the bustling town of Almancil, Algarve, with a range of private holiday villas in Almancil with pools and nearby sandy beaches. Book today!		NOT MAPPED	"Villas In Almancil" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Almancil		FAIL
https://www.villaplus.com/destinations/villas-in-portugal/algarve/vilamoura	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-portugal/algarve/vilamoura	Holiday Villas in Vilamoura 2017 | Villa Plus		NOT MAPPED	Make your holiday to the Algarve unforgettable with holiday villas in Vilamoura featuring golf courses, leisure facilities and one of the few casinos.		NOT MAPPED	"Villas In Vilamoura" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Vilamoura		FAIL
https://www.villaplus.com/destinations/villas-in-portugal/algarve/olhos-d-agua	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-portugal/algarve/olhos-d-agua	Holiday Villas in Olhos D'Agua 2017 | Villa Plus		NOT MAPPED	If youâ€™re looking for a quieter, more relaxed holiday experience and beautiful surroundings, book a holiday villa in Olhos D&#39;Agua with us today!		NOT MAPPED	"Villas In Olhos Dâ€™Agua" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Olhos Dâ€™Agua		FAIL
https://www.villaplus.com/destinations/villas-in-portugal/algarve/branqueira	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-portugal/algarve/branqueira	Villas In Branqueira | Branqueira Villas | Villa Plus		NOT MAPPED	Algarve Villa Holidays &amp; villas in Branqueira, Algarve		NOT MAPPED	"Villas In Branqueira" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Branqueira		FAIL
https://www.villaplus.com/destinations/villas-in-portugal/algarve/praia-d-oura-montechoro	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-portugal/algarve/praia-d-oura-montechoro	Holiday Villas in Praia da Oura & Montechoro 2017 | Villa Plus		NOT MAPPED	Holiday villas in Praia Dâ€™Oura &amp; Montechoro, Algarve, have all youâ€™d want from golden sandy beaches to its lively atmosphere at night. Book with us today.		NOT MAPPED	"Villas In Praia Dâ€™Oura/Montechoro" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Praia D'Oura/Montechoro		FAIL
https://www.villaplus.com/destinations/villas-in-portugal/algarve/fort-sao-joao	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-portugal/algarve/fort-sao-joao	Villas In Fort Sao Joao | Fort Sao Joao Villas | Villa Plus		NOT MAPPED	Find your villa holiday in Fort Sao Joao, Algarve known for its rich culture and history. Book a villa holiday today for great deals and exclusive offers!		NOT MAPPED	"Villas In Fort Sao Joao" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Fort Sao Joao		FAIL
https://www.villaplus.com/destinations/villas-in-portugal/algarve/guia/villa-caracole	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-portugal/algarve/guia/villa-caracole	Villa Caracole In Guia, Algarve | Villa Plus		NOT MAPPED	Villa Caracole is a beautiful 2 bedroom villa with private pool, wifi, Pool heat, air con, PoolFence. Book now and pay only 10% deposit!		NOT MAPPED	"Villa Caracole in Guia, Villa Caracole, Villa in Guia, Guia villas, Algarve villas, villas in Algarve, villa plus" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Villa Caracole, Guia, Algarve		FAIL
https://www.villaplus.com/destinations/villas-in-portugal/algarve/albufeira	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-portugal/algarve/albufeira	Holiday Villas in Albufeira 2017 | Villa Plus		NOT MAPPED	Book your holiday villas in Albufeira, Algarve. Fish is caught fresh for the local restaurants to serve - perfect for a true taste of Portugal!		NOT MAPPED	"Villas In Albufeira" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Albufeira		FAIL
