New URL	New Title Tag	New Meta Description	Primary Keyword	Secondary Keyword	Tiertiary Keyword	H1
http://nimbus.villaplus.com/	Villa Holidays That You’ll Love More | Villa Plus	Over 900 villas with pools across 13 destinations. Low deposits, great prices and more free added extras than any other UK operator.	villa holidays	holiday villas	villas with pools	
http://nimbus.villaplus.com/villas-in-portugal	Villas In Portugal | Villa Holidays In Portugal | Villa Plus		villas in portugal	villa holidays in portugal	portugal villas	Villas In Portugal
http://nimbus.villaplus.com/villas-in-spain	Villas In Spain | Villa Holidays In Spain | Villa Plus		villas in spain	villa holidays in spain	villas spain	Villas In Spain
http://nimbus.villaplus.com/villas-in-greece	Villas In Greece | Villa Holidays In Greece | Villa Plus		villas in greece	villa holidays in greece	greek villa holidays	Villas In Greece
http://nimbus.villaplus.com/villas-in-canary-islands	Villas In Canary Islands | Canary Islands Villas | Villa Plus		villas in canary islands	canary islands villas	villas canary islands	Villas In Canary Islands
http://nimbus.villaplus.com/villas-in-balearic-islands	Villas In Balearic Islands | Balearic Islands Villas | Villa Plus					Villas In Balearic Islands
http://nimbus.villaplus.com/villa-holidays-2013	Villa Holidays 2013 | Villas 2013 | Villa Plus	Villa holidays for 2013 at great prices are available to book online with low deposits from only 10%! Book today.	villa holidays 2013	villas 2013	holiday villas 2013	Villa Holidays 2013
http://nimbus.villaplus.com/villa-holidays-2014	Villa Holidays 2014 | 2014 Villas | Villa Plus	Book your villa holidays 2014 at great prices with Villa Plus. Book online 2014 villas & flights and pay low deposit. ATOL protected on package holidays.	villa holidays 2014	2014 Villas 		Villa Holidays 2014
http://nimbus.villaplus.com/winter-villas	Winter Villas | Winter Villa Holidays | Villa Plus	Book your winter villa today and catch some winter sun in one of our lovely villas with heated pools. 10% deposit & price match offered.	winter villas			Winter Villas
http://nimbus.villaplus.com/easter-villa-holidays	Easter Villa Holidays | Easter Breaks | Villa Plus	Find the perfect Villa for your Easter Holiday with Villa Plus. We have more free added extras than any other UK villa operator. ATOL bonded. 	easter villa holidays 	easter breaks		Easter Villa Holidays 
http://nimbus.villaplus.com/whitsun-villas	Whitsun Villas | Whitsun Villa Holidays | Villa Plus	Book your Whitsun villa holidays with Villa Plus. Price match offered & ATOL protected on package holidays. 				Whitsun Villas 
http://nimbus.villaplus.com/summer-villas	Summer Villas | Summer Holiday Villas | Villa Plus	Book your Summer Holiday Villas with Villa Plus. Fantastic locations, price match offered & ATOL protected on package holidays. 				Summer Villas 
http://nimbus.villaplus.com/early-summer-villas	Early Summer Villas | Early Summer Villa Holidays | Villa Plus	Looking for great Early Summer Villa Holidays? Book fantastic Early Summer Villas at Villa Plus. ATOL protected on package holidays.				Early Summer Villa Holidays
http://nimbus.villaplus.com/large-villas-to-rent	Large Villas To Rent | Large Villas | Villa Plus	Big group? Over 100 large villas that cater for 10 or more people. Private, heated pools, air-con and much more. Only 10% deposit. ATOL protected.	large villas to rent	large villas		Large Villas To Rent
http://nimbus.villaplus.com/villas-with-heated-pools	Villas With Heated Pools | Villa Heated Pool | Villa Plus	Villas with free heated pools. Over 600 villas with private, heated pools. Pool Heat Pump makes the water 3°C to 5°C warmer than a non-heated pool in low-season.	villas with heated pools	villa heated pool		Villas With Heated Pools
http://nimbus.villaplus.com/villas-with-air-conditioning	Air Conditioned Villas | Villas With Air Conditioning | Villa Plus	Air conditioned villas – FREE air con! Cool villas, warm locations. Book for 2013 and pay just 10% deposit on villa only booking.	air conditioned villas 	villas with air conditioning		Air Conditioned Villas 
http://nimbus.villaplus.com/villas-with-tennis-courts 	Villas With Tennis Courts | Villa Plus					Villas With Tennis Courts
http://nimbus.villaplus.com/very-villa-plus	Best Villas | Quality Villas | Villa Plus	From our range of over 900 villas we have selected our most exclusive villas. Those with an amazing view, a great beach on the doorstep or a stunning pool and/or garden.				
http://nimbus.villaplus.com/villas-with-wifi	Villas With WiFi | WiFi Villas | Villa Plus					Villas With WiFi
http://nimbus.villaplus.com/villas-with-gated-pools	Villas With Gated Pools | Villas With Fenced Pools | Villa Plus		villas with gated pools	villas with fenced pools 		Villas With Gated Pools
http://nimbus.villaplus.com/beach-villas	Beach Villas | Villas In Great Locations | Villa Plus	Book a beach villa today and pay only 10% deposit. We've got more villas within walking distance to the beach than any other UK villa tour operator. 	beach villas			Beach Villas
http://nimbus.villaplus.com/cheap-villa-holidays	Cheap Villa Holidays | Cheap Villas | Villa Plus		cheap villa holidays	cheap villas	cheap villa holidays 2013	Cheap Villa Holidays
http://nimbus.villaplus.com/last-minute-villas	Last Minute Villas | Last Minute Villa Holidays | Villa Plus		last minute villas	last minute villa holidays	last minute villas with pools	Last Minute Villas
http://nimbus.villaplus.com/luxury-villas	Luxury Villas | Style Villas | Villa Plus		luxury villas	style villas		Luxury Villas
http://nimbus.villaplus.com/family-villa-holidays	Family Villa Holidays | Family Villas | Villa Plus		family villa holidays	family villas		Family Villa Holidays
http://nimbus.villaplus.com/about-us	About Us | Villa Plus					About Us
http://nimbus.villaplus.com/why-book-with-us	Why Book With Us | Villa Plus					Why Book With Us
http://nimbus.villaplus.com/travel-insurance	Travel Insurance | Villa Plus					Travel Insurance
http://nimbus.villaplus.com/health-and-safety	Health And Safety | Villa Plus					Health And Safety
http://nimbus.villaplus.com/useful-information	Useful Information | Villa Plus					Useful Information
http://nimbus.villaplus.com/booking-conditions	Booking Conditions | Villa Plus					Booking Conditions
http://nimbus.villaplus.com/website-terms-of-use	Website Terms Of Use | Villa Plus					Website Terms Of Use
http://nimbus.villaplus.com/eco-policy	Eco Policy | Villa Plus					Eco Policy
http://nimbus.villaplus.com/eurostretcher	Eurostretcher | Villa Plus					Eurostretcher
http://nimbus.villaplus.com/atol-protected	ATOL Protected | Villa Plus	Your flights are ATOL protected with Villa Plus. Peace of mind for package holidays.				ATOL Protected
http://nimbus.villaplus.com/owners	Villa Owners | Rent My Holiday Home | Villa Plus	Thinking of renting your holiday home? We have 26 years of experience dealing with villa owners to agree great deals and guaranteed contracts				
http://nimbus.villaplus.com/owners/rent-my-villa	Villa Owners | Rent My Villa | Villa Plus	Whatever your reason for renting your villa, we offer competitive terms, guaranteed contracts and great development plan for your property				
http://nimbus.villaplus.com/owners/what-happens-next	Villa Owners | What Happens Next | Villa Plus	A step by step guide on what happens after you decide to rent your villa with Villa Plus				
http://nimbus.villaplus.com/owners/health-and-safety	Villa Owners | Health & Safety | Villa Plus	As a villa tour operator the Health and Safety of our customer is a matter of the utmost importance to us				
http://nimbus.villaplus.com/owners/meet-the-team	Villa Owners | Meet The Team | Villa Plus	Are you a Villa Owner? Meet our UK and Resort Based teams to discuss your needs				
http://nimbus.villaplus.com/request-a-brochure	Request A Brochure | Villa Plus					Request A Brochure
http://nimbus.villaplus.com/brochure-request-confirmation	Brochure Request Confirmation | Villa Plus					
http://nimbus.villaplus.com/faq	FAQ | Villa Plus					FAQ
http://nimbus.villaplus.com/price-match	Price Match | Villa Plus					Price Match
http://nimbus.villaplus.com/low-deposit-villa-holidays	Low Deposit Villa Holidays | Villa Plus					Low Deposit Villa Holidays
http://nimbus.villaplus.com/help	Help | Villa Plus					Help
http://nimbus.villaplus.com/feedback	Feedback | Villa Plus					Feedback
http://nimbus.villaplus.com/privacy	Privacy | Villa Plus					Privacy
http://nimbus.villaplus.com/cookie-policy	Cookie Policy | Villa Plus	Learn about our cookie policy. What are cookies, which cookies do Villa Plus use and how do we use them.				Cookie Policy
http://nimbus.villaplus.com/contact-us	Contact Us | Villa Plus					Contact Us
http://nimbus.villaplus.com/sitemap	Sitemap | Villa Plus					Sitemap
http://nimbus.villaplus.com/destinations	Destinations | Villa Plus	Find your villa holiday in The Algarve, Mallorca, Menorca, Costa del Sol, Costa Blanca, Cyprus, Corfu, Kefalonia, Crete, Rhodes and the Canary Islands				Destinations
http://nimbus.villaplus.com/algarve	Algarve Villa Holidays | Algarve Holidays | Villa Plus		algarve villa holidays	algarve holidays	villa holidays algarve	Algarve Villa Holidays
http://nimbus.villaplus.com/algarve/resorts	Resorts In Algarve | Villa Plus					Resorts In Algarve
http://nimbus.villaplus.com/algarve/villas	Algarve Villas | Villas In Algarve | Villa Plus		algarve villas	villas in algarve	villas to rent in algarve	Algarve Villas
